team,season,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
NO/Oklahoma City Hornets,2007,53192278,15,3546151.8666666667,412718,10800000
New Jersey Nets,2000,24886000,5,4977200.0,1920000,9000000
New Jersey Nets,2001,37279000,14,2662785.714285714,24000,10130000
New Jersey Nets,2002,40169000,13,3089923.076923077,333000,10865000
New Jersey Nets,2003,47560000,10,4756000.0,512000,16105000
New Jersey Nets,2004,34972000,8,4371500.0,995000,10950000
New Jersey Nets,2005,6516000,3,2172000.0,1887000,2363000
New Jersey Nets,2006,66600455,15,4440030.333333333,719373,16440000
New Jersey Nets,2007,62772809,14,4483772.071428572,412718,18084000
New Jersey Nets,2008,74282536,19,3909607.1578947366,4533,19728000
New Jersey Nets,2009,56466226,14,4033301.8571428573,442114,14724125
New Jersey Nets,2010,56849596,17,3344093.882352941,475875,11242666
New Jersey Nets,2011,46695858,17,2746815.1764705884,20103,7248325
New Jersey Nets,2012,62338419,18,3463245.5,22287,16359805
New Orleans Hornets,2003,37964000,12,3163666.6666666665,1126000,7750000
New Orleans Hornets,2004,25893000,7,3699000.0,1300000,8525000
New Orleans Hornets,2005,5474000,2,2737000.0,2474000,3000000
New Orleans Hornets,2008,52765565,12,4397130.416666667,770610,11664000
New Orleans Hornets,2009,60616287,13,4662791.307692308,797581,12528000
New Orleans Hornets,2010,67692045,11,6153822.2727272725,457588,13520500
New Orleans Hornets,2011,53455858,12,4454654.833333333,25073,14940153
New Orleans Hornets,2012,66926606,19,3522452.947368421,38194,14030000
New Orleans Hornets,2013,46204574,14,3300326.714285714,27859,13668750
New Orleans Pelicans,2007,1233840,1,1233840.0,1233840,1233840
New Orleans Pelicans,2009,4456391,4,1114097.75,442114,1976400
New Orleans Pelicans,2011,1587692,2,793846.0,762195,825497
New Orleans Pelicans,2012,7885369,5,1577073.8,473604,4847586
New Orleans Pelicans,2013,14644147,9,1627127.4444444445,38194,5104000
New Orleans Pelicans,2014,62215488,15,4147699.2,29788,14283844
New Orleans Pelicans,2015,67116400,16,4194775.0,107676,14898938
New Orleans Pelicans,2016,87932770,20,4396638.5,169883,15514031
New Orleans Pelicans,2017,76981497,16,4811343.5625,57672,22116750
